prd_cd,prd_nm,siz_cd,work_size,press_sheet,output_paper_typ_cd,prd_typ,repro,is_jeonji_siz
PRD_000094,엽서북,SIZ_000262,218x160,316x467,,PRD_TYPE.04,N,N
PRD_000094,엽서북,SIZ_000265,288x145,316x467,,PRD_TYPE.04,N,N
PRD_000094,엽서북,SIZ_000264,318x110,316x467,,PRD_TYPE.04,N,N
PRD_000097,떡메모지,SIZ_000267,74x124,,,PRD_TYPE.04,N,N
PRD_000097,떡메모지,SIZ_000036,94x94,316x467,,PRD_TYPE.04,N,N
PRD_000100,포토북 [디자인명],SIZ_000250,150x214,,,PRD_TYPE.04,N,N
PRD_000100,포토북 [디자인명],SIZ_000270,203x203,,,PRD_TYPE.04,N,N
PRD_000100,포토북 [디자인명],SIZ_000252,213x303,,,PRD_TYPE.04,N,N
PRD_000100,포토북 [디자인명],SIZ_000275,254x254,,,PRD_TYPE.04,N,N
PRD_000100,포토북 [디자인명],SIZ_000279,314x224,,,PRD_TYPE.04,N,N
PRD_000100,포토북 [디자인명],SIZ_000278,352x248,,,PRD_TYPE.04,N,N
PRD_000100,포토북 [디자인명],SIZ_000273,420x213,,,PRD_TYPE.04,N,N
PRD_000100,포토북 [디자인명],SIZ_000281,440x313,,,PRD_TYPE.04,N,N
PRD_000100,포토북 [디자인명],SIZ_000272,460x235,,,PRD_TYPE.04,N,N
PRD_000100,포토북 [디자인명],SIZ_000280,472x334,,,PRD_TYPE.04,N,N
PRD_000100,포토북 [디자인명],SIZ_000277,556x285,,,PRD_TYPE.04,N,N
PRD_000108,탁상형캘린더,SIZ_000283,134x224,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000108,탁상형캘린더,SIZ_000282,224x149,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000109,미니탁상형캘린더,SIZ_000284,94x104,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000109,미니탁상형캘린더,SIZ_000285,152x64,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000110,엽서캘린더,SIZ_000283,134x224,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000110,엽서캘린더,SIZ_000288,149x304,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000110,엽서캘린더,SIZ_000286,149x149,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000110,엽서캘린더,SIZ_000171,152x214,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000110,엽서캘린더,SIZ_000287,224x134,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000110,엽서캘린더,SIZ_000282,224x149,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000111,벽걸이캘린더,SIZ_000290,214x424,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
