comp_cd,apply_ymd,siz_cd,mat_cd,min_qty,unit_price,note,src_col,src_row
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,60,5900.00,권위 스티커 r22 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,22
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,70,5900.00,권위 스티커 r23 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,23
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,75,5700.00,권위 스티커 r24 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,24
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,80,5700.00,권위 스티커 r25 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,25
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,90,5700.00,권위 스티커 r26 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,26
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,100,5700.00,권위 스티커 r27 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,27
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,120,5700.00,권위 스티커 r28 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,28
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,125,5700.00,권위 스티커 r29 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,29
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,140,5700.00,권위 스티커 r30 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,30
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,150,5700.00,권위 스티커 r31 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,31
