source,sheet,product_or_context,display_name,raw_dims,unit,semantic_axis_guess
master,스티커,,직사각 55 x 24mm (2EA),"{""work"": ""65 x 61"", ""cut"": ""65 x 61""}",mm,작업/재단(완제 디스플레이)
master,스티커,,직사각 55 x 33mm (2EA),"{""work"": ""65 x 79"", ""cut"": ""65 x 79""}",mm,작업/재단(완제 디스플레이)
master,스티커,,직사각 90 x 40mm (2EA),"{""work"": ""100 x 50"", ""cut"": ""100 x 50""}",mm,작업/재단(완제 디스플레이)
master,스티커,,직사각 90 x 50mm (1EA),"{""work"": ""100 x 60"", ""cut"": ""100 x 60""}",mm,작업/재단(완제 디스플레이)
master,스티커,,직사각 90 x 60mm (1EA),"{""work"": ""100 x 70"", ""cut"": ""100 x 70""}",mm,작업/재단(완제 디스플레이)
master,스티커,,직사각 90 x 70mm (1EA),"{""work"": ""100 x 80"", ""cut"": ""100 x 80""}",mm,작업/재단(완제 디스플레이)
master,스티커,,직사각 90 x 80mm (1EA),"{""work"": ""100 x 90"", ""cut"": ""100 x 90""}",mm,작업/재단(완제 디스플레이)
master,스티커,타투스티커,90 x 190 mm,"{""work"": ""90 x 190"", ""cut"": ""90 x 190""}",mm,작업/재단(완제 디스플레이)
master,책자,중철책자,A5 (148 x 210 mm),"{""work"": ""150 x 214"", ""cut"": ""148 x 210""}",mm,작업/재단(완제 디스플레이)
master,책자,,A4 (210 x 297 mm),"{""work"": ""213 x 303"", ""cut"": ""210 x 297""}",mm,작업/재단(완제 디스플레이)
master,책자,무선책자,A5 (148 x 210 mm),"{""work"": ""150 x 214"", ""cut"": ""148 x 210""}",mm,작업/재단(완제 디스플레이)
master,책자,,A4 (210 x 297 mm),"{""work"": ""213 x 303"", ""cut"": ""210 x 297""}",mm,작업/재단(완제 디스플레이)
master,책자,PUR책자,A5 (148 x 210 mm),"{""work"": ""150 x 214"", ""cut"": ""148 x 210""}",mm,작업/재단(완제 디스플레이)
master,책자,,A4 (210 x 297 mm),"{""work"": ""213 x 303"", ""cut"": ""210 x 297""}",mm,작업/재단(완제 디스플레이)
master,책자,트윈링책자,A5 (148 x 210 mm),"{""work"": ""150 x 214"", ""cut"": ""148 x 210""}",mm,작업/재단(완제 디스플레이)
master,책자,,A5 (210 x 148 mm),"{""work"": ""214 x 150"", ""cut"": ""210 x 148""}",mm,작업/재단(완제 디스플레이)
