mat_cd	mat_nm	mat_typ_cd	upr_mat_cd	sel_typ_cd	max_sel_cnt	width	height	depth	weight	bdl_qty	use_yn	note	reg_dt	upd_dt	del_yn	del_dt
MAT_000152	유포	MAT_TYPE.11		SEL_TYPE.01							Y	IMPORT 약어/base 기준 root (2 자식)	2026-06-03 12:46:02.974607	2026-06-16 18:56:58.003176	Y	2026-06-16 18:56:58.001184
MAT_000153	유포스티커	MAT_TYPE.11				330.00	470.00		80.00		Y		2026-06-03 12:46:02.974607	2026-06-16 18:57:13.788027	N	
MAT_000154	유포지	MAT_TYPE.11	MAT_000152			330.00	470.00				Y		2026-06-03 12:46:02.974607	2026-06-16 18:56:49.160146	Y	2026-06-16 18:56:49.158131
MAT_000155	무광코팅스티커	MAT_TYPE.11							90.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000156	유광코팅스티커	MAT_TYPE.11							90.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000157	모조	MAT_TYPE.01		SEL_TYPE.01							Y	IMPORT 약어/base 기준 root (2 자식)	2026-06-03 12:46:02.974607	2026-06-16 18:57:42.712052	Y	2026-06-16 18:57:42.710131
MAT_000158	미색매트지	MAT_TYPE.11							80.00		Y		2026-06-03 12:46:02.974607	2026-06-16 18:58:11.801242	N	
MAT_000159	모조 120g	MAT_TYPE.01	MAT_000157						120.00		Y		2026-06-03 12:46:02.974607	2026-06-16 18:57:42.707647	Y	2026-06-16 18:57:42.705066
MAT_000160	리무벌아트지 90g	MAT_TYPE.11							90.00		Y		2026-06-03 12:46:02.974607	2026-06-16 18:31:28.241737	N	
MAT_000161	수분리스티커	MAT_TYPE.11				315.00	470.00		80.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000162	투명스티커	MAT_TYPE.11				330.00	480.00		105.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000163	홀로그램스티커	MAT_TYPE.11							50.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000164	크라프트 스티커	MAT_TYPE.11							57.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000165	유포지 + 엠보코팅	MAT_TYPE.11									Y		2026-06-03 12:46:02.974607	2026-06-16 18:27:33.268769	N	
MAT_000166	투명접착 PVC	MAT_TYPE.11									Y		2026-06-03 12:46:02.974607	2026-06-16 18:30:57.76377	N	
MAT_000167	타투전용지	MAT_TYPE.11				210.00	297.00				Y		2026-06-03 12:46:02.974607	2026-06-16 18:27:20.730124	N	
