group,width_mm,height_mm,wxh,match_status,existing_siz_cd,products
POSTER,1000,2200,1000x2200,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1000,2400,1000x2400,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1000,2600,1000x2600,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1000,2800,1000x2800,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1000,3000,1000x3000,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1000,3500,1000x3500,NONE,,메쉬현수막;일반현수막
POSTER,1000,4000,1000x4000,NONE,,메쉬현수막;일반현수막
POSTER,1000,4500,1000x4500,NONE,,메쉬현수막;일반현수막
POSTER,1000,5000,1000x5000,NONE,,메쉬현수막;일반현수막
POSTER,1200,600,1200x600,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1200,800,1200x800,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1200,900,1200x900,REVERSED,SIZ_000320,메쉬현수막;일반현수막
